Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGamePPR,FantasyPointsPPR
159,Brian Quick,WAS,WR,11,8,6,75,76,0,31,9.5,12.7,0,0,0,0,0,0,1.2,13.6
160,Chris Thompson,HOU,WR,13,6,5,83.3,84,0,32,14,16.8,0,0,0,0,3,0,1,13.4
161,Trevor Davis,GB,WR,16,7,5,71.4,70,0,29,10,14,2,13,6.5,0,0,0,0.8,13.3
162,Sammie Coates,CLE,WR,12,11,6,54.5,70,0,38,6.4,11.7,0,0,0,0,0,0,1.1,13
163,Jaelen Strong,JAX,WR,2,4,3,75,38,1,19,9.5,12.7,0,0,0,0,0,0,6.4,12.8
164,Justin Hunter,PIT,WR,7,10,4,40,23,1,7,2.3,5.8,0,0,0,0,0,0,1.8,12.3
164,Tanner McEvoy,SEA,WR,15,10,5,50,113,0,53,11.3,22.6,0,0,0,0,1,1,0.8,12.3
166,Brittan Golden,ARI,WR,13,9,5,55.6,70,0,29,7.8,14,0,0,0,0,0,0,0.9,12
167,Bryce Treggs,CLE,WR,6,18,5,27.8,79,0,20,4.4,15.8,1,6,6,0,1,1,1.9,11.5
168,Jesus Wilson,TB,WR,3,1,1,100,18,1,18,18,18,3,8,2.7,0,0,0,3.2,9.6
169,Chad Williams,ARI,WR,6,7,3,42.9,31,0,15,4.4,10.3,2,33,16.5,0,0,0,1.6,9.4
170,Ryan Switzer,DAL,WR,16,7,6,85.7,41,0,12,5.9,6.8,4,5,1.2,0,1,1,0.5,8.6
171,Markus Wheaton,CHI,WR,11,17,3,17.6,51,0,22,3,17,0,0,0,0,0,0,0.7,8.1
171,Michael Clark,GB,WR,2,14,4,28.6,41,0,19,2.9,10.2,0,0,0,0,0,0,4,8.1
173,Marcus Johnson,PHI,WR,10,8,5,62.5,45,0,16,5.6,9,0,0,0,0,1,1,0.8,7.5
