Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGamePPR,FantasyPointsPPR
141,Fitzgerald Toussaint,PIT,RB,6,6,25,4.2,0,3,2,9,0,0,0,0.9,5.4
142,Josh Ferguson,IND,RB,10,1,5,5,0,4,3,16,0,0,0,0.5,5.1
143,Mack Brown,MIN,RB,4,8,29,3.6,0,1,1,11,0,0,0,1.2,5
144,Dan Vitale,CLE,FB,15,0,0,0,0,5,3,19,0,0,0,0.3,4.9
145,Derrick Coleman,ATL,FB,16,2,8,4,0,7,2,20,0,0,0,0.3,4.8
146,Senorise Perry,MIA,RB,16,8,30,3.8,0,1,1,3,0,0,0,0.3,4.3
147,Michael Burton,CHI,FB,16,4,9,2.2,0,4,2,8,0,0,0,0.2,3.7
148,Andre Williams,LAC,RB,8,9,25,2.8,0,0,0,0,0,0,0,0.3,2.5
149,David Fluellen,TEN,RB,16,4,21,5.2,0,1,0,0,0,0,0,0.1,2.1
149,Taiwan Jones,BUF,RB,8,0,0,0,0,2,1,11,0,0,0,0.3,2.1
151,Matt Jones,IND,RB,5,5,14,2.8,0,0,0,0,0,0,0,0.3,1.4
151,Leshun Daniels Jr.,WAS,RB,4,3,14,4.7,0,0,0,0,0,0,0,0.4,1.4
153,Joe Kerridge,GB,FB,4,0,0,0,0,1,1,3,0,0,0,0.3,1.3
154,Devante Mays,GB,RB,8,4,1,0.2,0,3,3,0,0,2,1,0.1,1.1
155,Raheem Mostert,SF,RB,11,6,30,5,0,0,0,0,0,1,1,0.1,1
156,Terrell Watson,PIT,RB,10,5,8,1.6,0,0,0,0,0,0,0,0.1,0.8
157,John Kuhn,NO,FB,2,1,2,2,0,0,0,0,0,0,0,0.1,0.2
158,Justin Davis,LAR,RB,4,1,1,1,0,0,0,0,0,0,0,0,0.1
159,CJ Spiller,KC,RB,1,2,0,0,0,2,0,0,0,0,0,0,0
159,Jordan Todman,HOU,RB,14,0,0,0,0,0,0,0,0,0,0,0,0
159,Joe Banyard,BUF,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
