Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGamePPR,FantasyPointsPPR
135,Chris Conte,TB,FS,16,62,15,0,0,0,0,8,1,2,0,0,5.4,86.5
135,Robert Alford,ATL,CB,16,59,8,0.5,0,0,0,20,1,0,0,0,5.4,86.5
135,Malcolm Butler,NE,CB,16,55,5,1,1,0,2,12,2,2,0,0,5.4,86.5
139,Kawann Short,CAR,DT,16,27,22,11,7.5,0,15,1,0,1,1,0,5.4,86
140,Tashaun Gipson,JAX,FS,16,53,11,5,0,0,0,7,4,0,1,0,5.3,85.5
140,Trae Waynes,MIN,CB,16,57,7,5,1,0,1,11,2,0,0,0,5.3,85.5
142,Andre Hal,HOU,FS,16,47,24,4,0,0,1,6,3,2,0,0,5.3,85
142,Anthony Hitchens,DAL,ILB,12,55,29,8.5,0,0,2,2,0,1,0,0,7.1,85
142,Anthony Barr,MIN,OLB,16,52,23,9.5,1,0,4,6,0,0,0,0,5.3,85
145,Antoine Bethea,ARI,FS,15,47,10,1.5,1,0,2,9,5,1,0,0,5.6,84.5
145,Thomas Davis,CAR,OLB,15,52,24,5.5,2.5,0,7,0,0,0,1,0,5.6,84.5
145,Malik Jackson,JAX,DT,16,29,9,11,8,0,12,3,0,3,0,0,5.3,84.5
145,Kendell Beckwith,TB,OLB,16,60,13,7,1,0,1,2,0,2,0,0,5.3,84.5
149,Adrian Clayborn,ATL,DE,16,17,4,7,9.5,0,18,0,0,3,2,1,5.2,84
149,Damon Harrison,NYG,NT,16,50,26,9,1.5,0,3,3,1,0,0,0,5.2,84
149,Frank Clark,SEA,DE,16,19,13,11.5,9,0,21,2,0,1,1,0,5.2,84
149,Justin Simmons,DEN,FS,13,49,19,4.5,1,0,2,5,2,0,0,1,6.5,84
149,Marcus Williams,NO,FS,15,58,14,1,0,0,0,6,4,0,0,0,5.6,84
154,Brian Orakpo,TEN,OLB,16,30,14,6.5,7,0,18,2,0,2,0,0,5.2,83.5
154,Mychal Kendricks,PHI,OLB,15,53,22,4.5,2,0,5,6,0,0,0,0,5.6,83.5
154,Josh Jones,GB,SS,16,59,11,5,2,0,2,5,1,0,0,0,5.2,83.5
157,Jake Ryan,GB,ILB,15,52,29,4.5,1,0,1,0,0,2,1,0,5.5,83
158,Anthony Zettel,DET,DE,16,31,12,10.5,6.5,0,16,0,0,1,1,0,5.2,82.5
159,Lawrence Timmons,MIA,OLB,14,58,26,5,0,0,3,3,0,0,0,0,5.9,82
159,Xavien Howard,MIA,CB,16,42,6,3,1,0,1,13,4,0,0,1,5.1,82
161,Casey Hayward,LAC,CB,16,33,7,2,0,0,0,22,4,1,2,0,5.1,81.5
162,Darian Thompson,NYG,FS,16,61,14,2,0,0,2,6,1,0,0,0,5.1,81
163,Andrew Sendejo,MIN,SS,13,53,26,1,0,0,0,7,2,0,0,0,6.2,80
163,Eric Reid,SF,SS,13,53,14,4,0,0,3,4,2,0,1,0,6.2,80
163,Quandre Diggs,DET,SS,16,45,10,5,1,0,2,9,3,1,0,0,5,80
163,Grady Jarrett,ATL,DT,16,34,21,14.5,4,0,13,0,0,0,0,0,5,80
163,Daryl Worley,CAR,CB,15,50,14,4,1,0,1,10,2,0,0,0,5.3,80
168,Terrance Mitchell,KC,CB,15,48,5,0,0,0,0,17,4,0,0,0,5.3,79.5
169,Brandon Carr,BAL,CB,16,50,6,2,0,0,0,12,4,0,0,0,4.9,79
169,Ndamukong Suh,MIA,NT,16,29,18,11,4.5,0,13,2,0,2,0,0,4.9,79
169,George Iloka,CIN,SS,16,54,25,4.5,0,0,0,5,1,0,0,0,4.9,79
169,Nick Vigil,CIN,OLB,11,44,34,6,1,0,2,5,1,0,0,0,7.2,79
169,Marcus Maye,NYJ,FS,16,57,22,0,0,0,0,2,2,1,0,0,4.9,79
174,Linval Joseph,MIN,NT,16,39,28,5.5,3.5,0,10,0,0,0,1,0,4.9,78.5
