Rank,Name,Team,Position,Played,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,Interceptions,FumblesForced,FumblesRecovered,DefensiveTouchdowns,FantasyPointsPerGamePPR,FantasyPointsPPR
232,Justin Coleman,SEA,CB,16,30,10,1.5,1.5,0,3,9,2,0,0,2,4.3,69.5
232,Ryan Smith,TB,CB,15,50,11,0,0,0,0,5,0,2,1,0,4.6,69.5
238,Logan Ryan,TEN,CB,15,50,12,2,0,0,0,11,0,0,0,0,4.6,69
239,Tavon Wilson,DET,SS,10,42,13,6,2,0,2,2,1,1,0,0,6.8,68.5
239,John Simon,IND,DE,9,28,14,6.5,3,0,11,1,1,0,0,1,7.6,68.5
241,Marcus Gilchrist,HOU,FS,16,45,11,2.5,1,0,1,6,1,1,0,0,4.2,68
241,Sam Acho,CHI,OLB,16,28,14,3,3,0,17,1,0,1,1,0,4.2,68
243,Robert McClain,TB,CB,14,41,8,2.5,0,0,0,5,3,0,0,1,4.8,67.5
243,Vinny Curry,PHI,DE,16,25,17,11,3,0,17,0,0,0,0,0,4.2,67.5
245,Paul Posluszny,JAX,ILB,16,43,18,7,1.5,0,3,2,0,0,0,0,4.2,67
245,Xavier Rhodes,MIN,CB,16,44,12,1,0,0,0,10,2,0,0,0,4.2,67
245,Nickell Robey,LAR,CB,15,39,10,2,0,0,0,9,2,1,1,0,4.5,67
245,Brian Poole,ATL,CB,15,49,14,2,1,0,3,4,0,0,0,0,4.5,67
249,Chris Long,PHI,DE,16,19,9,4,5,0,20,0,0,3,0,0,4.2,66.5
250,Ross Cockrell,NYG,CB,16,37,13,2.5,0,0,0,11,3,0,0,0,4.1,66
250,Solomon Thomas,SF,DE,14,34,7,8.5,3,0,11,0,0,0,1,0,4.7,66
250,Jourdan Lewis,DAL,CB,15,48,6,2,0,0,0,10,1,0,0,0,4.4,66
253,Korey Toomer,LAC,ILB,15,32,18,2.5,1,0,2,3,1,2,0,1,4.4,65.5
253,Manti Te'o,NO,ILB,16,42,19,8,0,0,0,3,0,0,1,0,4.1,65.5
253,AJ Klein,NO,OLB,12,37,17,6,2,0,3,4,0,1,0,0,5.5,65.5
253,Bradley Roby,DEN,CB,16,35,7,1,1,0,1,17,1,0,1,0,4.1,65.5
257,Johnathan Joseph,HOU,CB,16,37,10,2,0,0,0,9,2,0,0,1,4.1,65
258,Stephon Gilmore,NE,CB,13,47,3,1,0,0,0,9,2,0,0,0,5,64.5
258,Denico Autry,OAK,DT,16,23,13,9,5,0,9,7,0,0,0,0,4,64.5
260,Brad McDougald,SEA,SS,16,45,23,3,0,0,0,4,0,0,0,0,4,63.5
260,Willie Henry,BAL,DT,14,24,9,6,3.5,0,11,5,0,0,2,0,4.5,63.5
262,DJ Hayden,DET,CB,16,35,7,1,0.5,0,1,9,0,0,2,1,3.9,62.5
263,Leonard Johnson,BUF,CB,15,41,12,2,0,0,0,7,0,1,1,0,4.1,62
263,Janoris Jenkins,NYG,CB,9,27,4,0,0,0,0,9,3,1,0,2,6.9,62
263,Brock Coyle,SF,ILB,16,37,26,4,0.5,0,3,1,0,1,0,0,3.9,62
263,Matt Milano,BUF,OLB,16,31,17,3.5,0,0,2,2,1,1,1,1,3.9,62
263,Calvin Munson,NYG,ILB,14,35,22,7,2,0,2,0,0,1,0,0,4.4,62
268,Connor Barwin,LAR,OLB,14,26,8,6.5,5,0,12,0,0,0,1,0,4.4,61.5
269,Tramon Williams,ARI,CB,13,39,2,0,0,0,0,12,2,0,1,0,4.7,61
269,Jimmy Smith,BAL,CB,12,26,2,1,0,0,0,9,3,0,1,2,5.1,61
269,Sheldon Richardson,SEA,DT,15,27,17,3.5,1,0,7,1,1,1,2,0,4.1,61
269,Devon Kennard,NYG,OLB,15,25,17,7.5,4,0,7,2,0,0,1,0,4.1,61
269,Olsen Pierre,ARI,DT,14,22,8,10,5.5,0,9,2,0,1,0,0,4.4,61
274,Muhammad Wilkerson,NYJ,DE,13,26,20,4.5,3.5,0,6,4,1,0,0,0,4.7,60.5
274,Eli Apple,NYG,CB,11,41,8,0.5,0,0,1,8,0,0,2,0,5.5,60.5
274,Nick Kwiatkoski,CHI,ILB,11,40,11,3,2,0,3,2,0,1,0,0,5.5,60.5
274,Nicholas Morrow,OAK,OLB,16,39,21,5,0,0,2,4,0,0,0,0,3.8,60.5
278,Kyle Williams,BUF,DT,16,21,20,3,3,0,9,2,0,0,1,0,3.8,60.1
279,Lardarius Webb,BAL,FS,16,37,2,4,2,0,2,3,2,1,0,0,3.8,60
279,Takk McKinley,ATL,DE,16,15,5,10.5,6,0,10,1,0,2,1,0,3.8,60
281,Robert Ayers Jr,TB,DE,12,21,11,5,2,0,18,0,0,2,0,0,5,59.5
281,Lawrence Guy,NE,DT,16,34,24,6.5,1,0,4,1,0,0,0,0,3.7,59.5
281,Bobby McCain,MIA,CB,16,34,12,3.5,1,0,1,7,2,0,0,0,3.7,59.5
284,Cory James,OAK,OLB,10,42,14,6,0,0,0,1,0,1,0,0,5.9,59
285,Byron Maxwell,SEA,CB,9,39,7,0,0,0,0,7,1,2,0,0,6.5,58.5
285,Bennie Logan,KC,NT,15,34,17,9,1.5,0,3,1,0,0,0,0,3.9,58.5
285,Nevin Lawson,DET,CB,15,38,7,0,0,0,1,4,0,1,1,1,3.9,58.5
285,Jaquiski Tartt,SF,SS,9,37,17,4,0.5,0,2,3,1,0,0,0,6.5,58.5
285,Jayon Brown,TEN,ILB,16,37,14,1.5,1.5,0,3,4,0,0,1,0,3.7,58.5
290,Shelby Harris,DEN,NT,16,22,12,7,5.5,0,9,3,0,0,0,0,3.6,58
290,Carl Lawson,CIN,DE,16,10,5,9.5,8,0,20,0,0,0,0,0,3.6,58
292,Prince Amukamara,CHI,CB,14,46,3,0,0,0,0,7,0,0,1,0,4.1,57.5
292,Emmanuel Ogbah,CLE,DE,10,18,11,8,4,0,6,6,0,1,1,0,5.8,57.5
292,Zach Vigil,WAS,ILB,7,41,18,2.5,0,0,0,2,0,0,1,0,8.2,57.5
295,PJ Williams,NO,CB,16,34,13,1.5,0,0,0,9,2,0,0,0,3.6,57
295,David Irving,DAL,DT,8,13,9,9.5,7,0,10,6,0,0,0,0,7.1,57
297,Rashaan Melvin,IND,CB,10,30,6,1.5,0,0,0,13,3,0,0,0,5.6,56.5
297,Deshazor Everett,WAS,SS,14,37,21,0,0,0,1,5,0,1,0,0,4,56.5
299,Tyrone Crawford,DAL,DE,16,18,9,5.5,4,0,12,2,0,1,1,0,3.5,56
299,Deatrich Wise Jr,NE,DE,16,16,10,5,5,0,19,1,0,0,0,0,3.5,56
