RB,Overall,Player,Team,Bye,ESPN,MFL,FFC,RTSports,Fantrax,ADP
112,399,Knowshon Moreno,,,,,101,,101,101
113,401,Akeem Hunt,,,,,102,,102,102
114,408,Thomas Rawls,,,,,103,,103,103
115,409,Trenton Cannon,NYJ,11,,,,,105,105
116,270,Ryan Grant,IND,9,,,,,106,106
117,419,Mike Boone,MIN,10,,,,,109,109
118,425,Mike Davis,SEA,7,,,,,110,110
119,432,Derek Watt,LAC,8,,,,,111,111
120,433,Terrance West,,,,,112,,112,112
121,434,Kerwynn Williams,,,,,114,,114,114
122,435,CJ Ham,MIN,10,,,,,115,115
123,439,Charcandrick West,KC,12,,,,,117,117
124,445,Roc Thomas,MIN,10,,,,,118,118
125,450,Justin Davis,LAR,12,,,,,119,119
126,458,Keith Smith,OAK,7,,,,,121,121
127,459,Patrick DiMarco,BUF,11,,,,,122,122
128,460,Andy Janovich,DEN,10,,,,,123,123
129,475,Benny Cunningham,CHI,5,,,,,124,124
130,478,Jamize Olawale,DAL,8,,,,,125,125
