Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGamePPR,FantasyPointsPPR
105,Jim Dray,ARI,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,James Hurst,BAL,TE,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Khari Lee,BUF,TE,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Matt LaCosse,DEN,TE,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Matt Lengel,CLE,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Henry Krieger-Coble,IND,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Eric Saubert,ATL,TE,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Cethan Carter,CIN,TE,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Evan Baylis,HOU,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Sean Culkin,LAC,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Gavin Escobar,BAL,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Blake Jarwin,DAL,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Ben Braunecker,CHI,TE,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Johnny Mundt,LAR,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,MyCole Pruitt,HOU,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Gabe Holmes,ARI,TE,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Kyle Carter,MIN,TE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,John Phillips,NO,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Pharaoh Brown,OAK,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Hakeem Valles,DET,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Ryan O'Malley,NYG,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Tyrone Swoopes,SEA,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
